	n	sx	sy	sz
0.0695975374710675	-1.1444315293123E-9	0.0642886344592676	-0.0312607332335278	0.0312904965379308
0.0932616025682051	-5.21307607587695E-10	0.0248532504686644	-0.0163854023551847	0.0163836415159035
0.151855835288622	-5.34973926718098E-10	0.0023616414454235	-0.00217797784989949	0.0021620122754025
0.120662115805387	-1.59592675224379E-10	0.00811965416987468	-0.00723075798680136	0.00722357608378966
0.121307624638445	-1.04060664570431E-9	0.0082466670694693	-0.00524333510072448	0.0051985777806848
0.151155939458292	-2.0403265027115E-11	0.00227367946399668	-0.00277412992595135	0.00276964128354979
0.0938375253315838	-1.62533580095571E-9	0.024958595902775	-0.0107404678327287	0.0106347810937086
0.0700872135727707	-1.85282124000236E-9	0.0641930653302491	-0.0175062212419543	0.0173067652066344
0.0507095765445739	-1.09363333616068E-9	0.13777842595788	-0.0186815009769473	0.0183979068496725
0.0363187246753147	7.18565328929315E-10	0.242119857737174	-4.11017853304582E-5	-2.4654619050809E-4
0.0274263103781015	2.0241083476798E-9	0.342280778339353	0.0330707959449947	-0.0332453473160202
0.0243753877012151	1.29040860372943E-9	0.385562255330836	0.0394946723096808	-0.0394843455167727
0.0123428722431314	-1.17611822009396E-9	0.617550935558411	0.0010381046898916	-6.98944511975852E-4
0.0193976659902649	-2.39904948670893E-9	0.468281655620415	-0.0494390092970548	0.0497114316903135
0.0322202326595715	-2.31106433696586E-9	0.282481351566201	-0.0667660088812832	0.0668874083928812
0.0503231043347063	-1.48512007290297E-9	0.1384543452358	-0.0469913975676362	0.0470013315187084
0.0730885486607149	-7.57585746928909E-10	0.0564340476278195	-0.023947214882636	0.0239171220101877
0.151684664928215	-4.26758109787793E-10	0.00244547401985443	-0.0018137446765912	0.0017994872940166
0.0998403855445156	-2.88261609184785E-10	0.0194639163880201	-0.010593924926967	0.010566751093089
0.119756422836246	-8.65830183719686E-10	0.00887073296986286	-0.00475296663562678	0.0047114487872544
0.129903049444128	-5.40783183413083E-11	0.00579686258107768	-0.00414754220467815	0.00413309706901968
0.0907050693171026	-1.45179472790121E-9	0.028329911982368	-0.0110815503373532	0.0109804619822297
0.162641615237952	1.05409529920634E-11	0.00152148189430919	-0.00147422659108516	0.00146845547297019
0.0651817527106469	-1.92717971224305E-9	0.0777217853442063	-0.022401534008318	0.022209328348879
0.0438673925195065	-1.75005150784955E-9	0.1795662687774	-0.0361053528010677	0.0358476039514363
0.0274263111461638	-4.44508038418149E-10	0.342286158391927	-0.0330052836383926	0.0327975878398939
0.0164419284663608	8.12001048485726E-10	0.526144384073319	1.87363274479252E-4	-2.02888071154679E-4
0.0113436892057453	4.25802004785448E-10	0.641977424328132	0.0263309111972281	-0.0261090592868598
0.0031194427872332	-1.0610740664471E-9	0.885330793764657	7.7462530298081E-4	-1.22809058998159E-4
0.00827216365460163	-2.02630515931267E-9	0.723879700974342	-0.0295046854646747	0.0299016345425078
0.0193976765662043	-1.95222058351263E-9	0.468324697481847	-0.0503734354436877	0.0504517136287117
0.0360509222836772	-1.27772380101129E-9	0.244014796001137	-0.0414678383141669	0.0413755395044994
0.0576286856589214	-7.01048212406736E-10	0.104907529973579	-0.0220272107939655	0.0219128479563913
0.156351197990093	-2.37893452393875E-10	0.00210231408670889	-9.42399150225476E-4	9.31920587788195E-4
0.0834467024293561	-2.97633632847424E-10	0.0380572716465309	-0.00969941942054694	0.00962257575996182
0.123290324273734	-4.74123882148095E-10	0.00784893010463548	-0.00259514611433396	0.00256395917171232
0.112806768528505	-5.76530133085335E-11	0.0118979262667141	-0.00389755863284477	0.00386000679966029
0.0928976897535262	-7.59743011738139E-10	0.0262269591593964	-0.006536800944358	0.00645972789153265
0.145044370900042	2.27706275491942E-11	0.00329492462717811	-0.00142850025976998	0.00141379818125627
0.0658194931565896	-9.62000818669889E-10	0.0761645329575245	-0.0148835502196655	0.0147391095236529
0.179556097497991	1.78039124312773E-11	8.25007541548063E-4	-4.89944976667048E-4	4.85120542393354E-4
0.0427468955364832	-7.91752853712277E-10	0.187925491254827	-0.0293321763556243	0.0291649564416012
0.0243753986172233	5.5563951130266E-11	0.385567788071304	-0.039319810359445	0.0392884166134156
0.0113436948869062	8.199525944957E-10	0.641980857468678	-0.0256936438727272	0.025979307078832
0.00415821682977252	3.11839744456498E-10	0.850103011565949	5.4929146748261E-4	5.33115058090036E-5
0.00311944319090943	2.42513637470354E-9	0.885343864854761	8.12024095970238E-4	5.82785788257959E-4
0.00415822013418308	1.06639515176209E-9	0.850181340189069	2.95484123641411E-4	3.10366728875297E-4
0.0113437030516599	7.10679477266456E-7	0.642165138179621	-0.0259891163952221	5.90411522382286E-4
0.0243754148898961	1.23806174321978E-6	0.38590709158417	-0.0394917212409207	0.00133952289093856
0.0427469232424939	1.15394759025379E-6	0.188253793038404	-0.02942031850474	0.00141805575938896
0.179556058989791	2.39170593604975E-8	8.38307446724899E-4	-4.82278756234731E-4	9.67761239413698E-5
0.0658195343535573	7.40459633084682E-7	0.0763643363798498	-0.0149369973150671	9.26630522557343E-4
0.145044327571905	7.74329750057448E-8	0.00332198211809773	-0.00141120854978258	2.34766683740582E-4
0.0928977441579815	3.62631614957853E-7	0.0263345557327539	-0.00656362243986308	5.34918976668208E-4
0.112806727844058	2.22458546366812E-7	0.0119526863304343	-0.00386267433856159	5.09390943168944E-4
0.12329038870139	1.43691240879979E-7	0.00790244006169343	-0.00260453128191684	2.83485602874957E-4
0.0834466693044716	5.37388088498748E-7	0.0381649655694422	-0.00964034036068708	9.816669028924E-4
0.156351266369247	4.86176738084551E-8	0.00212688193104755	-9.44860263027582E-4	1.31226216164897E-4
0.0576286622008587	1.04215012230668E-6	0.105115242739841	-0.0219377787365598	0.00179992668704121
0.0360509080771037	1.53002343275256E-6	0.244337919412226	-0.0413115456329462	0.00278508458476972
0.0193976695087568	1.5306100216748E-6	0.468566027279357	-0.0500977536935821	0.00264072408738511
0.00827216118817227	8.12492148466069E-7	0.723917771463317	-0.0292211952815016	0.00139283566502413
